,nickname,text,score,like,dislike,time,watch_movie
381,gudw****,알바들은 좀 성의있게 평점달아라....,1,3,0,2020-09-18 17:02:00,0
382,땡구(nici****),디즈니 특유의 색 없음 그냥 일반 무협영화,2,3,0,2020-09-18 17:00:00,0
383,MNExpress(gaz4****),감독이 진짜 만들기 귀찮았나보다. 어쩜 그리 대충 만들었는지...디즈니도 감 떨어졌나봐 아참! 시진핑이 역비 아부지로 나옴,1,3,0,2020-09-18 16:56:00,0
384,허허실실(slay****),정말 딱 점수만큼 재미있네요,1,3,0,2020-09-18 16:37:00,0
385,포드림(crus****),#boycottmulan #보이콧뮬란,1,3,0,2020-09-18 16:37:00,0
386,끝까지(3wbr****),"그냥 좋게 생각하려고 합니다. 이미 내몸을, 내눈을 배렸는데... 중국만의 잘못은 아니에요.. 모르고 보러간 우리의 잘못도 아주 커요... 좋게생각하려고 해요.. 암...",2,3,0,2020-09-18 16:31:00,0
387,뉴런(cmjz****),별로다.. 기대이하임,1,3,0,2020-09-18 16:29:00,0
388,skip****,중국의 탄압과 탐욕 그 사이에서 탄생한 영화,1,3,0,2020-09-18 16:25:00,0
389,misa****,8점이.넘어?? 미친영화평점은 다음영화로,1,3,0,2020-09-18 16:25:00,0
390,최훈석(rnee****),관람객 평점은 중국인이 쓴거냐 ?,1,3,0,2020-09-18 16:20:00,0
391,오정(munt****),중국눈치를 너무너무 본 영화.  엉성한 스토리 엉망인 고증. 재미없음. 한마디로,2,3,0,2020-09-18 16:17:00,0
392,whdk****,스포일러가 포함된 감상평입니다. 감상평 보기,2,3,0,2020-09-18 16:14:00,0
393,홀베인(dosj****),용도 없고 귀뚜라미도 없고 샹도 없는데 이게 물란이냐?,1,3,0,2020-09-18 15:55:00,0
394,Lucy(sua0****),스포일러가 포함된 감상평입니다. 감상평 보기,1,3,0,2020-09-18 11:56:00,0
395,슈퍼맨(2001****),Free HongkongFree TibetFree TaiwanFree Uyghur,1,3,0,2020-09-18 10:55:00,0
396,소청(afro****),HONG KONG FREEDOM.,1,3,0,2020-09-18 10:53:00,0
397,k1116(wonz****),"뮬란은 유역비가 아니라 아그네스 차우다. 정의란 없는 인권 탄압 옹호 지지, 폭력은 소비하면 안됩니다. boycottmulan",1,3,0,2020-09-18 10:43:00,0
398,잡초(dm41****),평점은 영화를 본 사람이 달아야지. 라는 나의 고정관념을 깨준 영화.,1,3,0,2020-09-18 10:42:00,0
